,,constrained_beds
min,Barnet General SU,101.0
min,Charing Cross SU,226.0
min,Croydon SU,256.0
min,Hillingdon SU,164.0
min,Kingston SU,144.0
min,King’s College SU,142.0
min,Lewisham SU,501.0
min,N Middlesex SU,427.0
min,Newham General SU,213.0
min,Northwick Park SU,412.0
min,Princess Royal SU,183.0
min,Queens Romford SU,296.0
min,Royal Free SU,331.0
min,Royal London SU,174.0
min,St George’s SU,153.0
min,St Helier SU,167.0
min,St Thomas SU,118.0
min,University College SU,234.0
min,W Middlesex SU,190.0
min,Whipps Cross SU,271.0
mean,Barnet General SU,126.2
mean,Charing Cross SU,263.76666666666665
mean,Croydon SU,299.23333333333335
mean,Hillingdon SU,188.56666666666666
mean,Kingston SU,174.3
mean,King’s College SU,176.66666666666666
mean,Lewisham SU,546.4333333333333
mean,N Middlesex SU,466.3666666666667
mean,Newham General SU,248.16666666666666
mean,Northwick Park SU,461.73333333333335
mean,Princess Royal SU,215.0
mean,Queens Romford SU,321.9
mean,Royal Free SU,373.1666666666667
mean,Royal London SU,209.33333333333334
mean,St George’s SU,174.76666666666668
mean,St Helier SU,203.4
mean,St Thomas SU,168.16666666666666
mean,University College SU,277.6333333333333
mean,W Middlesex SU,210.3
mean,Whipps Cross SU,315.0
median,Barnet General SU,126.0
median,Charing Cross SU,259.5
median,Croydon SU,308.0
median,Hillingdon SU,189.0
median,Kingston SU,172.0
median,King’s College SU,175.5
median,Lewisham SU,543.5
median,N Middlesex SU,465.0
median,Newham General SU,245.0
median,Northwick Park SU,462.0
median,Princess Royal SU,214.5
median,Queens Romford SU,317.0
median,Royal Free SU,373.0
median,Royal London SU,212.0
median,St George’s SU,174.0
median,St Helier SU,209.0
median,St Thomas SU,174.0
median,University College SU,281.0
median,W Middlesex SU,208.0
median,Whipps Cross SU,318.0
max,Barnet General SU,153.0
max,Charing Cross SU,292.0
max,Croydon SU,328.0
max,Hillingdon SU,212.0
max,Kingston SU,204.0
max,King’s College SU,195.0
max,Lewisham SU,615.0
max,N Middlesex SU,500.0
max,Newham General SU,277.0
max,Northwick Park SU,516.0
max,Princess Royal SU,254.0
max,Queens Romford SU,353.0
max,Royal Free SU,413.0
max,Royal London SU,233.0
max,St George’s SU,208.0
max,St Helier SU,242.0
max,St Thomas SU,203.0
max,University College SU,312.0
max,W Middlesex SU,243.0
max,Whipps Cross SU,362.0
percentile_95,Barnet General SU,147.55
percentile_95,Charing Cross SU,291.55
percentile_95,Croydon SU,325.54999999999995
percentile_95,Hillingdon SU,203.1
percentile_95,Kingston SU,203.1
percentile_95,King’s College SU,194.55
percentile_95,Lewisham SU,584.1499999999999
percentile_95,N Middlesex SU,492.04999999999995
percentile_95,Newham General SU,275.0
percentile_95,Northwick Park SU,494.2
percentile_95,Princess Royal SU,234.54999999999998
percentile_95,Queens Romford SU,347.75
percentile_95,Royal Free SU,395.1
percentile_95,Royal London SU,229.75
percentile_95,St George’s SU,202.49999999999997
percentile_95,St Helier SU,229.1
percentile_95,St Thomas SU,198.55
percentile_95,University College SU,305.54999999999995
percentile_95,W Middlesex SU,233.29999999999998
percentile_95,Whipps Cross SU,348.95
