,,constrained_beds
min,asu_patients_all,363.0
min,asu_patients_allocated,363.0
min,asu_patients_displaced,0.0
min,asu_patients_unallocated,0.0
min,current_patients,363.0
min,total_patients,0.0
min,total_patients_asu,0.0
min,total_patients_displaced,0.0
min,total_patients_waited,0.0
mean,asu_patients_all,424.4028310502283
mean,asu_patients_allocated,418.62456621004566
mean,asu_patients_displaced,0.0
mean,asu_patients_unallocated,5.778264840182648
mean,current_patients,424.4028310502283
mean,total_patients,4761.169863013699
mean,total_patients_asu,2712.979178082192
mean,total_patients_displaced,0.0
mean,total_patients_waited,352.20520547945205
median,asu_patients_all,424.0
median,asu_patients_allocated,419.0
median,asu_patients_displaced,0.0
median,asu_patients_unallocated,4.0
median,current_patients,424.0
median,total_patients,4761.0
median,total_patients_asu,2710.0
median,total_patients_displaced,0.0
median,total_patients_waited,338.0
max,asu_patients_all,481.0
max,asu_patients_allocated,473.0
max,asu_patients_displaced,0.0
max,asu_patients_unallocated,32.0
max,current_patients,481.0
max,total_patients,9523.0
max,total_patients_asu,5568.0
max,total_patients_displaced,0.0
max,total_patients_waited,972.0
percentile_95,asu_patients_all,451.0
percentile_95,asu_patients_allocated,441.0
percentile_95,asu_patients_displaced,0.0
percentile_95,asu_patients_unallocated,17.0
percentile_95,current_patients,451.0
percentile_95,total_patients,9052.0
percentile_95,total_patients_asu,5168.0
percentile_95,total_patients_displaced,0.0
percentile_95,total_patients_waited,739.0
